CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
CHEVROLET Tracker LS Mecanica 2015,CHEVROLET,2015,172000,1800,42000000
Renault Koleos Sportway Edicion Limitada 2015,Renault,2015,32000,0,57990000
CHEVROLET Tracker FWD LS 2015,CHEVROLET,2015,80000,0,40000000
Mitsubishi Lancer 1.5 Glx Station Wagon Mecanico 1997,Mitsubishi,1997,270000,1500,8000000
Ford Escape 2.0 4X4 2014,Ford,2014,62300,2000,62500000
Hyundai Tucson IX35 4x4 2.0 Diesel Mecanica Full Equipo 2013,Hyundai,2013,110000,2000,46000000
Peugeot 2008 1.6 Allure Aut 2015,Peugeot,2015,32000,1600,50000000
Volkswagen BORA  2006,Volkswagen,2006,95000,2500,20500000
Great Wall M4 1.5 4x2 2016,Great Wall,2016,45000,1500,29000000
Toyota Prado  2016,Toyota,2016,56000,0,180000000
Chevrolet Tracker  2017,Chevrolet,2017,17000,0,54000000
Citroen Jumper 2.2 Hdi Turbo Diesel 19 Psajeros Full Equipo 2012,Citroen,2012,300000,2198,65000000
Chevrolet Spark  2015,Chevrolet,2015,55000,1400,25500000
CHEVROLET Captiva 2.4 LS SPORT Automatico 2009,CHEVROLET,2009,340900,2000,67899999
SSANGYONG Korando C 2.0 4X2 2012,SSANGYONG,2012,145000,2000,29500000
FORD Ecosport 2.0 4x2 Aut Titanium 2017,FORD,2017,52320,2000,56600000
Renault Logan Expression 2016,Renault,2016,52870,1600,28600000
Volkswagen Voyage Comfortline 2019,Volkswagen,2019,28420,1600,40500000
BMW X5 xDrive 35i Premium 2011,BMW,2011,50500,3500,97000000
Daihatsu Sirion 1.3 Ex 3p Aire Acondicionado 2008,Daihatsu,2008,65000,1300,16000000
BMW Serie 5 525i Automatico 2008,BMW,2008,94600,2500,34950000
BMW X5 Xdrive 30d 2013,BMW,2013,93000,2993,98000000
KIA Cerato Koup 1.6 Nb Mecanico Aire Acondicionado 2013,KIA,2013,79000,1600,33200000
BMW X3 Xdrive 20i 2015,BMW,2015,30000,2000,98000000
HINO FC9J Camion 2015,HINO,2015,295000,5123,170000000
AUDI A3 1.8 Automatico 2009,AUDI,2009,68000,1800,39900000
BMW Serie 1 120D 2013,BMW,2013,63000,2000,53000000
Citroen C3 1.4 2011,Citroen,2011,55000,1400,22500000
Renault Sandero Expression Abs 2012,Renault,2012,110000,1600,21000000
Mercedes Benz 413  2010,Mercedes Benz,2010,435388,0,77000000
BMW Serie 1 120i Sport Mecanico Hatchback 3p 2012,BMW,2012,66400,2,46000000
Renault Stepway Discovery 1.6 Mecanico 2014,Renault,2014,90000,1600,27500000
Ssangyong Rexton G4 2.0 Elite 4x4 2006,Ssangyong,2006,180000,2900,35000000
Mazda CX-9 3.7 V6 4x4 Automatica 2011,Mazda,2011,66000,3700,55000000
FORD Focus Titanium Aut 2015,FORD,2015,42300,2000,41900000
Chevrolet Spark 1.0 A.A 2012,Chevrolet,2012,74000,1000,15900000
Renault Fluence Privilege 2.0 Mecanico 2013,Renault,2013,41200,2000,33000000
Chevrolet LUV  1990,Chevrolet,1990,270000,2300,19800000
Mazda 3  2020,Mazda,2020,1000,2000,90000000
Renault Sandero Authentique Aire Acondicionado 2016,Renault,2016,43700,1600,28700000
Volkswagen New Beetle 2.5 Sport 2 Puertas Tiptronic Full Equipo 2016,Volkswagen,2016,32500,2500,51000000
Chevrolet Equinox  2018,Chevrolet,2018,19700,1500,74900000
FORD Fiesta H.B. Se 2016,FORD,2016,17513,1600,36500000
Nissan Pathfinder 3.5 Ancha Aut 2017,Nissan,2017,29800,3500,87990000
Volkswagen GOLF Comfortline 1.4 Tsi Dsg 2017,Volkswagen,2017,74000,1400,47999999
BMW X3 Xdrive 20d 2013,BMW,2013,92000,2000,68000000
Great Wall Haval M4 1.5 4x2 2018,Great Wall,2018,37000,1497,32000000
Volvo Xc 60 Kinetic 2.5 4x4 Aut 2016,Volvo,2016,50000,2497,80000000
Hyundai Tucson All New Gls Limited Ac At 4x4 2010,Hyundai,2010,114000,2700,29900000
Volvo C30 2.0 Entry 2012,Volvo,2012,68890,2000,42000000
Volvo New S60 1.6 T4 Automatico 2011,Volvo,2011,107437,1596,39900000
Volvo Xc 60 3.0 T6 Full 2013,Volvo,2013,70000,3000,71900000
Mercedes Benz Clase A 200 Aut 2016,Mercedes Benz,2016,41000,1600,67000000
FORD Ecosport  2015,FORD,2015,68300,2000,41000000
FORD Fusion Titanium Gasolina 2015,FORD,2015,28000,2000,55000000
BMW X3 Xdrive 28i 2011,BMW,2011,43000,2996,67500000
BMW X1 Sdrive 18d 2011,BMW,2011,155000,2000,47000000
Volkswagen Tiguan  2019,Volkswagen,2019,700,2000,97500000
Mazda 3 2.0 Hatchback Automatico 2018,Mazda,2018,65000,2000,64000000
KIA Carens Rondo 2.0 Gls Automatica 2012,KIA,2012,67900,2000,37000000
KIA Sportage FQ 2.0 4x2 Mecanica 2014,KIA,2014,150000,2000,36000000
KIA Picanto  2016,KIA,2016,380000,1200,79000000
FORD Ranger 2.2 4x2 Furgon 2007,FORD,2007,260000,2200,26800000
Mazda 6  2015,Mazda,2015,54000,2000,63000000
NISSAN Patrol  1993,NISSAN,1993,7000,3200,30000000
Chevrolet Tracker  2015,Chevrolet,2015,51000,1800,43000000
Geely Lc 1.3  2014,Geely,2014,41000,1350,16500000
Chevrolet Tracker  2015,Chevrolet,2015,51000,1800,43000000
Chevrolet ONIX 1.0 Lt Turbo Sedan  2021,Chevrolet,2021,100,1000,51890000
Hyundai I25 1.6 Classic 2014,Hyundai,2014,82000,1600,31000000
Mercedes Benz Clase C 180 Aut 2005,Mercedes Benz,2005,69350,1800,37000000
KIA Sportage Revolution 2.0 4x2 A.A 2015,KIA,2015,94700,2000,56800000
Renault Duster Dynamique 4x4 Bvm 2017,Renault,2017,60000,2000,46000000
Renault Sandero 1.6 Expression Mecanico 2017,Renault,2017,50000,1600,29500000
KIA Super Eko Taxi Soul 2018,KIA,2018,98000,1600,110000000
JEEP CJ3 A 1964,JEEP,1964,50000,2200,20000000
Hyundai Accent 1.4 Vision 4 Puertas Full Equipo 2009,Hyundai,2009,775876,1400,75000000
Volkswagen Jetta 2.5 Confortline Automatico 2012,Volkswagen,2012,52000,2500,31900000
Mazda 6 All New 2.5 Automatico 2011,Mazda,2011,77500,2500,38000000
Nissan Montacarga  2018,Nissan,2018,22258,2400,75000000
Volkswagen Nuevo Jetta 2.5 Trendline Automatico 2014,Volkswagen,2014,60500,0,41900000
AUDI A4 2.0 Multitronic 2007,AUDI,2007,85796,2000,44000000
Toyota Prado VX 3.0 Diesel Mecanica 2007,Toyota,2007,187000,3000,70000000
CHEVROLET Tracker FWD LS Aut 2015,CHEVROLET,2015,51000,0,43000000
Chevrolet NQR Reward Camion Euro Iv 2020,Chevrolet,2020,100,4800,122000000
KIA Mohave 3.0 Diesel Automatica 2014,KIA,2014,104000,0,80000000
Toyota Fortuner  2011,Toyota,2011,104000,2700,68000000
Chevrolet Captiva Sport 2.4 2011,Chevrolet,2011,138000,2384,29000000
Renault KWID ZEN 2021,Renault,2021,1850,1000,35900000
Honda Civic 1.6 Lx Mec 1997,Honda,1997,276277,1600,12800000
Volkswagen GOL 1.6 Confortline Hatchback Mecanico 2020,Volkswagen,2020,15700,1600,40700000
Mercedes Benz Clase Gla 200 Aut 2015,Mercedes Benz,2015,69200,1600,77000000
BMW Serie 1 118i M Edition Aut 5p 2015,BMW,2015,41000,1600,70000000
Renault Duster Dynamique 2.0 4x2 Dakar 2018,Renault,2018,15000,2000,54000000
Changan CS35  2015,Changan,2015,187000,1598,30000000
Nissan March Active Plus 2017,Nissan,2017,71500,1600,26500000
Nissan Almera 1.6 Sg Sedan Mecanico Full Equipo 2008,Nissan,2008,123000,1600,17500000
Nissan Tiida 1.8 Emotion Sedan Automatico Full Equipo 2011,Nissan,2011,116500,1800,21800000
Nissan Versa Sense 2013,Nissan,2013,99300,1600,25500000
Mazda 3 1.6 Sedan Automatico 2010,Mazda,2010,108000,1600,23500000
Volkswagen Nuevo Jetta Comfortline 2.5 Aut 2013,Volkswagen,2013,88000,2500,34500000
BMW X3 Xdrive 30i 2018,BMW,2018,30000,2000,138000000
KIA SOUL 1.6 Mecanica Aire Acondicionado 2016,KIA,2016,119000,1600,37000000
Chevrolet Traverse Lt Aut 2014,Chevrolet,2014,53272,3564,58000000
Ssangyong Korando C 2.0 4x2 2013,Ssangyong,2013,108000,2000,30000000
Nissan Frontier Np300 Chasis 2.5 4x2 Turbo Diesel 2017,Nissan,2017,28900,2500,81000000
CHEVROLET NHR Reward Camion 2020,CHEVROLET,2020,400,3000,85900000
NISSAN New Pathfinder Exclusive 2015,NISSAN,2015,52000,3500,92000000
AUDI A6 2.0 C7 Turbo Multitronic 2011,AUDI,2011,17200,2000,65000000
KIA Grand Pregio 3.0 19p 2013,KIA,2013,192000,3000,65000000
Chevrolet Captiva 2.4 Ls Sport Automatico 2012,Chevrolet,2012,116000,2398,31000000
Toyota Corolla 1.8 Aut 2012,Toyota,2012,116000,1800,33000000
FORD EDGE Limited 2013,FORD,2013,103500,3475,55000000
Volvo Xc 90 T6 Inscri. 2017,Volvo,2017,41000,1969,170000000
BMW Serie 1 120i M Edition 5p Aut 2016,BMW,2016,88000,1600,67900000
Chevrolet Optra Limited 1.8 Mecanico 2005,Chevrolet,2005,160000,1800,17000000
Mercedes Benz Clase E 200 1.8 Cgi Aut 2014,Mercedes Benz,2014,72000,2000,74900000
Renault Sandero 1.6 Dynamique 2017,Renault,2017,64800,1600,32000000
FORD EDGE Limited 2013,FORD,2013,103500,3475,55000000
BMW X5 3.0d Turbo Diesel 2015,BMW,2015,10000,3000,100000000
Joylong H3 2.8 Se Diesel Cummins 19 Pasajeros 2015,Joylong,2015,132000,2800,85000000
Chery YOYO 1.2  Mecanica Aire Acondicionado 2013,Chery,2013,70000,1200,24500000
Chevrolet Cheyenne  1995,Chevrolet,1995,380000,5700,25000000
Chevrolet BEAT 1.2 Ltz 2020,Chevrolet,2020,9950,0,38500000
Chevrolet Captiva Sport 2.4 2011,Chevrolet,2011,157000,2384,25000000
Mazda 6 All New 2.5 Automatico 2012,Mazda,2012,78100,2500,44900000
Hyundai Terracan 2.5 4x4 Diesel Mec F.E 2007,Hyundai,2007,232000,2500,31000000
Hyundai Santafe 2.2 Diesel 4x2 Aut 2013,Hyundai,2013,81349,2200,49300000
Mazda CX-5  2017,Mazda,2017,19407,2600,82000000
Chevrolet N300 1.2 Move Pasajeros 2013,Chevrolet,2013,50300,1200,29000000
KIA Grand Pregio 3.0 19p 2013,KIA,2013,140000,3000,66000000
KIA Sportage 2.0 4x4 Mecanica 2011,KIA,2011,139000,1975,33000000
Toyota Hilux Hi-Rider 4x4 Doble Cabina Aire Acondicionado 2006,Toyota,2006,148888,2400,49500000
Volvo Xc 60 2.0 T5 G-Tronic 2015,Volvo,2015,38000,0,80000000
FORD Ranger Xls Diesel 2021,FORD,2021,1000,3200,113500000
Volkswagen Jetta 1.8 Confortline Tiptronic Full Equipo 2019,Volkswagen,2019,4673,1400,63000000
MINI Cooper S Jcw 3p Aut 2019,MINI,2019,7000,0,80000000
Chevrolet NKR Camion Turbo Lwb 2006,Chevrolet,2006,400000,0,50000000
Mazda 3 2.0 Grand Touring Aut 2015,Mazda,2015,56000,0,56000000
SSANGYONG New Korando C 2.0 F.E. 4x2 2015,SSANGYONG,2015,41000,2000,40000000
KIA Sportage Revolution 2.0 4x2 A.A. Aut Summa 2016,KIA,2016,36000,2000,70000000
Mitsubishi Fuso Canter 7.5L 2016,Mitsubishi,2016,63000,4899,95000000
Chevrolet NPR Reward 5.2 700p Camion 2020,Chevrolet,2020,1000,3700,122900000
Renault Alaskan Zen 2.5 Diesel 4x4 2021,Renault,2021,0,2488,127640000
Nissan Versa Advance 2020,Nissan,2020,4600,1600,49900000
FORD Escape Titanium Ecobost 4x4 2016,FORD,2016,37200,2000,74000000
Renault CLIO Sport Style 2016,Renault,2016,57000,1200,24800000
Renault Stepway  2018,Renault,2018,44500,1600,41500000
Nissan Sentra  2012,Nissan,2012,59000,1997,25500000
Mercedes Benz Clase C 200 Cgi 2011,Mercedes Benz,2011,57000,2000,53500000
Renault CLIO 1.6 Rs Dynamique 2009,Renault,2009,107000,0,16500000
Chevrolet NPR Camion Plus 2021,Chevrolet,2021,1000,0,120000000
Mercedes Benz Clase C 200 Exclusive 1980,Mercedes Benz,1980,300,2500,10000000
Toyota Fortuner 2.7 4x4 Automatico 2010,Toyota,2010,104500,2700,98000000
KIA Sportage FQ 2.0 4x2 Mecanica 2013,KIA,2013,55500,2000,39000000
Nissan U41  2012,Nissan,2012,130000,4169,75000000
Hyundai ATOS  2007,Hyundai,2007,661640,1000,77000000
Chevrolet Esteem  2000,Chevrolet,2000,145000,1600,12500000
Chevrolet NHR  2016,Chevrolet,2016,12000,2700,75000000
FORD Lariat  2016,FORD,2016,53888,3496,96500000
Chevrolet NHR  2014,Chevrolet,2014,189000,2800,54000000
Chevrolet Tracker Fwd Ls 2015,Chevrolet,2015,51000,1800,43000000
Chevrolet Tracker  2015,Chevrolet,2015,51500,0,43000000
Chevrolet Trail Blazer 2.8 Diesel Automatica Ltz 2020,Chevrolet,2020,12066,2800,130000000
Jaguar XE R-Sport 2.0 T 2019,Jaguar,2019,14800,2000,128000000
Renault Duster TREK 2016,Renault,2016,41950,1999,42500000
Volkswagen Crossfox 1.6 2015,Volkswagen,2015,54000,1600,38000000
Volkswagen Virtus Highline 2020,Volkswagen,2020,20400,1600,59900000
Nissan TK55  2012,Nissan,2012,165099,3000,77000000
Chery QQ 6 1.3 Mecanico 2012,Chery,2012,51800,1300,14500000
Chery Tiggo 2.0 Mecanico 2011,Chery,2011,59800,2000,23000000
Chevrolet Luv D-Max 2.4 4x2 Cabina Sencilla Gasolina 2006,Chevrolet,2006,240000,2400,31000000
Mazda CX-5 2.5 4x4 Automatica Grand Touring Lx 2019,Mazda,2019,23900,2500,109500000
HINO Dutro Buseta 2014,HINO,2014,220000,4009,124000000
FORD EDGE Limited 2012,FORD,2012,70000,3500,56000000
KIA Pregio  2008,KIA,2008,219000,3000,44000000
JAC S2  2019,JAC,2019,52500,1500,38500000
Renault Kangoo Z.E. 2 Puestos 2014,Renault,2014,88200,88200,26000000
Ssangyong Korando C 2.0 4x4 Diesel Automatica 2014,Ssangyong,2014,150000,2000,45000000
Nissan Tiida 1.8 Confort Sedan Mecanico 2012,Nissan,2012,120000,1800,22800000
Daewoo Matiz  2000,Daewoo,2000,170000,1000,8500000
Chevrolet Tracker  2015,Chevrolet,2015,85000,1800,40000000
Hyundai Tucson  2013,Hyundai,2013,72000,1998,47000000
Chevrolet DMAX Cabina Simple Chasis 4x2 2008,Chevrolet,2008,221000,2500,35900000
Honda CR-V 2.4 Exl Automatica 2012,Honda,2012,88400,2400,54000000
Chevrolet SAIL LS 2016,Chevrolet,2016,43000,1400,26000000
Volkswagen GOLF 2.0 Gti Full Equipo Sunroof Mecanico 2003,Volkswagen,2003,171700,2000,20000000
Changan CS55 Luxury Aut 2019,Changan,2019,98989,88888,90909888
Toyota Prado Sumo Tx-L Automatica 2013,Toyota,2013,82000,3000,122000000
Mercedes Benz Clase E  2017,Mercedes Benz,2017,18000,0,129000000
Mazda CX-5 2.0 4x2 Automatica Mid 2016,Mazda,2016,42000,1999,74000000
Volkswagen Crossfox 1.6 2017,Volkswagen,2017,55500,1600,42500000
Volkswagen Jetta 2.0 Europa 2014,Volkswagen,2014,92000,1984,29900000
Mercedes Benz Sprinter 515 Cdi Kombi 19+1 2016,Mercedes Benz,2016,530000,0,118000000
Chevrolet Spark 1.2 Gt Rs Aire Acondicionado 2011,Chevrolet,2011,60400,1200,23000000
Nissan Qashqai 2.0 Automatica Full Equipo 2015,Nissan,2015,84000,2000,59000000
Nissan X-Trail  2015,Nissan,2015,60000,2500,68000000
BMW X2  2019,BMW,2019,4792,2000,127000000
Mitsubishi L200 Furgon 1996,Mitsubishi,1996,281000,2000,20000000
DFSK Pick Up  2018,DFSK,2018,9800,1500,39500000
Ssangyong Rexton G4 2.0 Supreme 2019,Ssangyong,2019,13500,2000,137000000
Volkswagen Jetta 1.8 Gli Automatico Full Equipo 2012,Volkswagen,2012,69000,1800,37500000
Chevrolet AVEO Family 1.5 Mecanico 2012,Chevrolet,2012,75000,1500,20500000
Citroen C-Elysee 1.6 Exclusive Vti 115 2015,Citroen,2015,70000,1600,31900000
Mazda CX-5 2.0 4x2 Automatica High 2017,Mazda,2017,45000,0,73000000
Chevrolet Cruze Lt 1.4 Turbo Aut 2017,Chevrolet,2017,6000,1400,53000000
FORD Escape  2017,FORD,2017,23000,2000,75000000
KIA Sportage All New 4x2 Automatica 2017,KIA,2017,60300,2000,76000000
Nissan Patrol  1976,Nissan,1976,250000,4000,65000000
Toyota Prado Vx 3.0 Diesel Automatica 2013,Toyota,2013,160000,3000,123000000
Mazda 3 2.0 Gran Touring Sedan Mecanico Nueva Generacion 2015,Mazda,2015,60000,2000,60000000
JEEP Wrangler Unlimited 3.6 Aut 2016,JEEP,2016,50300,3600,145000000
Hyundai H1 Diesel 12 Pasajeros 2012,Hyundai,2012,168000,2478,60000000
Mercedes Benz Clase A 200 2016,Mercedes Benz,2016,38000,1600,66000000
FORD Explorer Aventura 4.0 Mecanica 1997,FORD,1997,211691,4000,18000000
Land Rover Discovery 4  2015,Land Rover,2015,44000,2000,135000000
Nissan Frontier Np300 2.5 4x4 Doble Cabina Turbo Diesel 2014,Nissan,2014,33500,2500,88000000
Chevrolet Spark 1.0 2014,Chevrolet,2014,67200,1000,15300000
Mitsubishi Lancer 1.3 GL 1998,Mitsubishi,1998,122000,1300,8000000
BMW Serie 3  2012,BMW,2012,86000,2000,49800000
Mercedes Benz Clase C 180 Limited Plus 2011,Mercedes Benz,2011,70000,1800,42000000
Chevrolet Tracker  2016,Chevrolet,2016,110000,1800,47000000
Mercedes Benz Clase E E200 CGl 2012,Mercedes Benz,2012,39912,1800,84000000
Mazda 3 2.0 Sport Grand Touring Aut 2018,Mazda,2018,14500,2,65000000
Chevrolet Tracker Ls Mecanica 2016,Chevrolet,2016,120000,0,38000000
Chevrolet Spark Life A.A 2017,Chevrolet,2017,42000,995,19900000
Renault Megane Iii CVT 2007,Renault,2007,159420,20,18000000
Chevrolet Epica  2004,Chevrolet,2004,96000,2000,12000000
Jaguar XF  2015,Jaguar,2015,10448,1999,89000000
Chevrolet Esteem  2003,Chevrolet,2003,160000,1300,11000000
FORD Expedition 5.4 V8 4x4 Automatica 2009,FORD,2009,120000,5400,72200000
Ssangyong Tivoli 4x2 Aut 2016,Ssangyong,2016,41000,1600,45000000
Renault Koleos Dynamique 4x2 Cvt Bose 2014,Renault,2014,95000,2500,44000000
Ssangyong Actyon 2.0 Diesel Mecanica Full Equipo 2013,Ssangyong,2013,83300,1900,29500000
Mazda 3 2.0 Sedan Touring 2018,Mazda,2018,26000,2000,56000000
Chevrolet Tracker Fwd Lt Aut 2016,Chevrolet,2016,22084,1800,52000000
Nissan X-Trail 2.5 Xmt 4x4 Full Equipo 2016,Nissan,2016,22100,2500,81800000
Honda CR-V 2.4 Exl Automatica 2016,Honda,2016,33450,2400,83500000
Ssangyong Tivoli  Xlv 4x2 1.6 Aut 2019,Ssangyong,2019,30000,1600,73400000
Mazda 3 Skyactiv Touring Sport 2019,Mazda,2019,13000,1999,63300000
Renault Logan Authentique A.A 2016,Renault,2016,77000,1600,28500000
Renault KWID Outsider 2020,Renault,2020,16700,1000,33500000
Nissan Sentra B14 1.6 Ex Saloon 1997,Nissan,1997,245000,1600,9000000
Mercedes Benz Clase B 180 Urban 2011,Mercedes Benz,2011,93000,1600,36500000
Mercedes Benz Clase Cla 180 Aut 2016,Mercedes Benz,2016,11100,1600,81000000
MINI Cooper 1.6 Basico Mecanico 2011,MINI,2011,43000,1600,40500000
FORD Escape Titanium 4x2 2016,FORD,2016,44000,0,86000000
FORD Fiesta H.B. Se 2014,FORD,2014,53360,1600,28000000
KIA Cerato Pro  2016,KIA,2016,74000,1600,41900000
KIA New Rio 1.4 A.A. Lujo 2012,KIA,2012,57000,1400,34000000
Volkswagen Jetta 2.0 Trendline Automatico Full Equipo 2012,Volkswagen,2012,94000,2000,27900000
FORD Ecosport 2.0 4x2 Automatica 2017,FORD,2017,130000,2000,42500000
Chevrolet ONIX Ltz Aut 2019,Chevrolet,2019,30000,1389,44000000
Mercedes Benz Clase Gl 500 Automatica 2016,Mercedes Benz,2016,46300,4700,149500000
Peugeot 3008 1.6 Gt Line 2019,Peugeot,2019,13866,1600,108000000
Citroen C4 1.2 Cactus 2018,Citroen,2018,18600,1200,57600000
Chevrolet Chevy C2 4 Puertas 1.6 Automatico 2005,Chevrolet,2005,130000,1600,8000000
Chevrolet SAIL 1.4 Ltz Sedan Mecanico Full Equipo 2015,Chevrolet,2015,66000,1400,25000000
Changan CS35  2017,Changan,2017,71000,0,31000000
FIAT UNO Fire 1.3 5 Puertas 2005,FIAT,2005,221000,1300,10500000
Nissan X-Trail 2.5 Xmt 4x4 Full Equipo 2017,Nissan,2017,68000,2488,75000000
BYD New F-3 GS-I 2015,BYD,2015,60000,1497,25000000
Nissan Sentra 1.6 16v A.A 1997,Nissan,1997,250000,1600,10000000
BMW Serie 5 520D 2011,BMW,2011,77500,2000,63900000
Chevrolet Spark Gt Ltz Mecanico Full Equipo 2018,Chevrolet,2018,44002,1200,26500000
Toyota Celica 1.6 St Mecanico 1994,Toyota,1994,174852,1600,24000000
Hyundai Santafe 2.2 4x2 Mecanica 7 Puestos 2009,Hyundai,2009,150000,2700,30000000
FORD Explorer Xlt 4.0 Automatica 2008,FORD,2008,125000,4000,35488000
Toyota Corolla 1.3 Mecanico 2007,Toyota,2007,193800,1800,20900000
Peugeot 3008 Active 1.6 4x2 Aut 2015,Peugeot,2015,65000,1598,49000000
Volkswagen Jetta 2.0 Europa 2015,Volkswagen,2015,46400,2000,30000000
Volkswagen GOLF Comfortline 1.4 Tsi Dsg 2018,Volkswagen,2018,24500,1400,57900000
Renault Logan Exclusive Aut 2019,Renault,2019,15000,1600,40000000
Chevrolet Esteem 1.3 Mecanico 2002,Chevrolet,2002,223500,1300,12000000
Mercedes Benz Clase C 200 Cgi 2011,Mercedes Benz,2011,58000,2000,53500000
Mazda 2 Sedan Touring 2019,Mazda,2019,33000,1500,46000000
Renault Duster Dynamique 4x2 Bva Plus 2013,Renault,2013,135500,20,35000000
Toyota Prado 5 Puertas Tx-L Automatica Gasolina 2012,Toyota,2012,110000,3956,116500000
Lexus Gx 460 4.6 Automatica 2020,Lexus,2020,110,4600,378000000
BMW 320I Sport Line 2008,BMW,2008,121000,2000,33800000
FORD Explorer Xlt 4.0 Automatica 2007,FORD,2007,127500,4000,30000000
FORD EDGE Limited 2012,FORD,2012,79900,3497,52500000
Mercedes Benz Clase Cla 180 Aut 2017,Mercedes Benz,2017,27200,1595,80000000
Ford Ecosport Freestyle 2.0 4x4 Automatica 2019,Ford,2019,22750,2000,62500000
KIA Sedona 2.9 Automatico Full Equipo 2008,KIA,2008,148000,2902,33000000
Chevrolet Optra Advance 1.8 Mecanico 2009,Chevrolet,2009,140000,18000,20500000
Mazda 3 All New 2.0 Sedan High Aut 2013,Mazda,2013,48000,2000,41500000
Mercedes Benz Clase E E200 Kompressor 2008,Mercedes Benz,2008,72000,1800,42000000
Chevrolet AVEO 1.6 5 Puertas Mecanico Aire Acondicionado 2013,Chevrolet,2013,99500,1600,19500000
Nissan Qashqai 2.0 Automatica Full Equipo 2012,Nissan,2012,68000,2000,43500000
Chevrolet BEAT 1.2 Lt 2019,Chevrolet,2019,57000,1200,30000000
Nissan X-Trail Classic S F.E. Aut 2009,Nissan,2009,145000,2500,28000000
KIA Sportage Fq 2.0 4x2 Automatica 2014,KIA,2014,79000,1975,34900000
Suzuki Swift 1.2 Sedan Gl 2017,Suzuki,2017,46000,1200,31000000
Brilliance V5 1.5 Sport Turbo 4x2 2015,Brilliance,2015,16100,1500,40500000
BAIC Kenbo K-Seven 1.5 7pas 2016,BAIC,2016,30000,1800,40000000
Nissan Pathfinder 3.3 Ancha Aut F.E 1998,Nissan,1998,220000,32,20000000
Citroen C-Elysee 1.6 Seduction Vti 115 2018,Citroen,2018,12000,1600,38500000
Chevrolet AVEO 1.6 4 Puertas  Aire Acondicionado 2011,Chevrolet,2011,112000,1600,18000000
KIA Picanto All New 1.25 2019,KIA,2019,9000,1250,32500000
Chevrolet Tracker Fwd Lt Aut 2016,Chevrolet,2016,31500,1800,46500000
SKODA New Octavia Elegance 1.8 Automatico Sedan 2003,SKODA,2003,170088,4,13000000
Chevrolet Tracker Fwd Ls Aut 2013,Chevrolet,2013,85000,1600,34000000
CITROEN C3 1.6 Shine Turbodiesel 2018,CITROEN,2018,16000,1600,62700000
Mercedes Benz Clase GL 500 Automatica 2017,Mercedes Benz,2017,13658,4663,250000000
Mercedes Benz Clase A 200 Aut 2014,Mercedes Benz,2014,57000,1600,60000000
Mercedes Benz Clase A 200 Style 2016,Mercedes Benz,2016,21700,1600,69500000
RENAULT Koleos 2.5 Dynamique 4x4 Cvt 2009,RENAULT,2009,130500,2500,31500000
Ford Explorer 3.5 LIMITED 2013,Ford,2013,103000,3500,65000000
Volkswagen Escarabajo  1967,Volkswagen,1967,5000,1600,14000000
Mitsubishi ASX 2.0 4X4 2016,Mitsubishi,2016,45000,2000,67000000
Mercedes Benz Clase C 180 CGI Aut 2012,Mercedes Benz,2012,54000,1800,51500000
Volkswagen Tiguan 1.4 Trendline Fwd 2019,Volkswagen,2019,8000,14,89000000
Chevrolet Tracker Ls Mecanica 2014,Chevrolet,2014,98000,1800,36000000
KIA Sportage 2.0 4x4 Mecanica 2008,KIA,2008,178000,2000,30000000
BMW Serie 1 116I 2014,BMW,2014,77400,1598,53700000
JAC Camion 1131 6.3 Toneladas 2012,JAC,2012,181000,5900,138000000
